"Report Written:","Tuesday, June 21, 2022"
"Project Path:","C:\Users\ATC\Desktop\DISEÑO_PCB\DISEÑO_PCB\PatinAspace2\PatinAspace_fab.prj"
"Design Path:","C:\Users\ATC\Desktop\DISEÑO_PCB\DISEÑO_PCB\PatinAspace2\PatinAspace_fab2.pcb"
"Design Title:",
"Created:","25/05/2021 8:12:04"
"Last Saved:","10/06/2022 11:18:30"
"Editing Time:","6773 min"
"Units:","mm (precision 2)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"PL3","1","2WP","","DSC","","","","","2 way Pin Header"
"PL4","1","2WP","","DSC","","","","","2 way Pin Header"
"PL6","1","2WP","","DSC","","","","","2 way Pin Header"
"PL7","1","2WP","","DSC","","","","","2 way Pin Header"
"PL8","1","2WP","","DSC","","","","","2 way Pin Header"
"Q1","1","BC547","","DSC","","","","","NPN Bipolar"
"Q2","1","BC547","","DSC","","","","","NPN Bipolar"
"Q3","1","BC547","","DSC","","","","","NPN Bipolar"
"Q4","1","BC547","","DSC","","","","","NPN Bipolar"
"Q5","1","BC547","","DSC","","","","","NPN Bipolar"
"Q6","1","BC547","","DSC","","","","","NPN Bipolar"
"Q8","1","BC547","","DSC","","","","","NPN Bipolar"
"Q9","1","BC547","","DSC","","","","","NPN Bipolar"
"Q7","1","BC556","","DSC","","","","","PNP Bipolar"
"Q10","1","BC556","","DSC","","","","","PNP Bipolar"
"CONN1","1","BORNA_DOBLE","","DIL","","","","","BORNA_DOBLE"
"CONN6","1","BORNA_DOBLE","","DIL","","","","","BORNA_DOBLE"
"CONN13","1","BORNA_DOBLE","","DIL","","","","","BORNA_DOBLE"
"CONN15","1","BORNA_DOBLE","","DIL","","","","","BORNA_DOBLE"
"CONN16","1","BORNA_DOBLE","","DIL","","","","","BORNA_DOBLE"
"CONN18","1","BORNA_DOBLE","","DIL","","","","","BORNA_DOBLE"
"CONN20","1","BORNA_DOBLE","","DIL","","","","","BORNA_DOBLE"
"CONN21","1","BORNA_DOBLE","","DIL","","","","","BORNA_DOBLE"
"CONN22","1","BORNA_DOBLE","","DIL","","","","","BORNA_DOBLE"
"CONN23","1","BORNA_DOBLE","","DIL","","","","","BORNA_DOBLE"
"CONN24","1","BORNA_DOBLE","","DIL","","","","","BORNA_DOBLE"
"CONN32","1","BORNA_DOBLE","","DIL","","","","","BORNA_DOBLE"
"CONN33","1","BORNA_DOBLE","","DIL","","","","","BORNA_DOBLE"
"CONN34","1","BORNA_DOBLE","","DIL","","","","","BORNA_DOBLE"
"CONN8","1","BORNA_TRIPLE","","DIL","","","","","BORNA_TRIPLE"
"CONN9","1","BORNA_TRIPLE","","DIL","","","","","BORNA_TRIPLE"
"CONN10","1","BORNA_TRIPLE","","DIL","","","","","BORNA_TRIPLE"
"CONN19","1","BORNA_TRIPLE","","DIL","","","","","BORNA_TRIPLE"
"CONN25","1","BORNA_TRIPLE","","DIL","","","","","BORNA_TRIPLE"
"CONN26","1","BORNA_TRIPLE","","DIL","","","","","BORNA_TRIPLE"
"CONN27","1","BORNA_TRIPLE","","DIL","","","","","BORNA_TRIPLE"
"CONN30","1","BORNA_TRIPLE","","DIL","","","","","BORNA_TRIPLE"
"CONN31","1","BORNA_TRIPLE","","DIL","","","","","BORNA_TRIPLE"
"CONN11","1","BORNA_TRIPLE","","DIL","","","","","BORNA_TRIPLE"
"CONN28","1","BORNA_TRIPLE","","DIL","","","","","BORNA_TRIPLE"
"U1","1","NUCLEOF446","","DIL","","","","",""
"R1","1","R","1K","DSC","","","","","Resistor"
"R3","1","R","1K","DSC","","","","","Resistor"
"R6","1","R","1K","DSC","","","","","Resistor"
"R8","1","R","1K","DSC","","","","","Resistor"
"R9","1","R","1K","DSC","","","","","Resistor"
"R13","1","R","1k","DSC","","","","","Resistor"
"R14","1","R","1k","DSC","","","","","Resistor"
"R15","1","R","1k","DSC","","","","","Resistor"
"R16","1","R","1k","DSC","","","","","Resistor"
"R18","1","R","1k","DSC","","","","","Resistor"
"R21","1","R","1k","DSC","","","","","Resistor"
"R23","1","R","1K","DSC","","","","","Resistor"
"R25","1","R","1K","DSC","","","","","Resistor"
"R27","1","R","1k","DSC","","","","","Resistor"
"R28","1","R","1k","DSC","","","","","Resistor"
"R32","1","R","1K","DSC","","","","","Resistor"
"R2","1","R","3.3k","DSC","","","","","Resistor"
"R4","1","R","3.3k","DSC","","","","","Resistor"
"R5","1","R","3.3k","DSC","","","","","Resistor"
"R7","1","R","3.3k","DSC","","","","","Resistor"
"R10","1","R","3.3k","DSC","","","","","Resistor"
"R24","1","R","3.3k","DSC","","","","","Resistor"
"R26","1","R","3.3k","DSC","","","","","Resistor"
"R31","1","R","3.3k","DSC","","","","","Resistor"
"R17","1","R","10k","DSC","","","","","Resistor"
"R22","1","R","10k","DSC","","","","","Resistor"
"R29","1","R","220","DSC","","","","","Resistor"
"R30","1","R","220","DSC","","","","","Resistor"
"R11","1","R","272","DSC","","","","","Resistor"
"R12","1","R","272","DSC","","","","","Resistor"
"R19","1","R","272","DSC","","","","","Resistor"
"R20","1","R","272","DSC","","","","","Resistor"
