"Report Written:","Monday, June 05, 2023"
"Project Path:","C:\Users\ATC\Desktop\DISEÑO_PCB\DISEÑO_PCB\CurrentMeasure_Brushless\currentMeasure.prj"
"Design Path:","C:\Users\ATC\Desktop\DISEÑO_PCB\DISEÑO_PCB\CurrentMeasure_Brushless\currentMeasure.pcb"
"Design Title:",
"Created:","11/05/2023 13:35:06"
"Last Saved:","05/06/2023 9:21:32"
"Editing Time:","983 min"
"Units:","mm (precision 2)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"CONN4","1","BORNA_DOBLE","","DIL","","","","","BORNA_DOBLE"
"CONN1","1","BORNA_TRIPLE","","DIL","","","","","BORNA_TRIPLE"
"CONN2","1","BORNA_TRIPLE","","DIL","","","","","BORNA_TRIPLE"
"CONN3","1","BORNA_TRIPLE","","DIL","","","","","BORNA_TRIPLE"
"C1","1","C 10uF","","C0603","","","","","Capacitor"
"C2","1","C 22uF","","C0603","","","","","Capacitor"
"C3","1","C 100nF","","C0603","","","","","Capacitor"
"C4","1","C 100nF","","C0603","","","","","Capacitor"
"C5","1","C 100nF","","C0603","","","","","Capacitor"
"U2","1","INA241A1","","INA241-SOT23","","","","",""
"U3","1","INA241A1","","INA241-SOT23","","","","",""
"U4","1","INA241A1","","INA241-SOT23","","","","",""
"U1","1","LM1117IMP-3.3","","SOT89A","","","","",""
"R1","1","ShuntResistor","","SM","","","","",""
"R2","1","ShuntResistor","","SM","","","","",""
"R3","1","ShuntResistor","","SM","","","","",""
